time,index_0,index_1,index_2,index_3,index_4
0.0,0,0,0,0,0
0.009,0,0,0,0,0
0.034,0,0,0,0,0
0.065,0,0,0,0,0
0.102,0,0,0,0,0
0.162,0,0,0,0,0
0.194,0,0,0,0,0
0.226,0,0,0,0,0
0.265,0,0,0,0,0
0.312,0,0,0,0,0
0.377,0,0,0,0,0
0.417,0,0,0,0,0
0.448,0,0,0,0,0
0.496,0,0,0,0,0
0.543,0,0,0,0,0
0.574,0,0,0,0,0
0.619,0,0,0,0,0
0.656,0,0,0,0,0
0.684,0,0,0,0,0
0.724,0,0,0,0,0
0.796,0,0,0,0,0
0.837,0,0,0,0,0
0.888,0,0,0,0,0
0.92,0,0,0,0,0
0.959,0,0,0,0,0
1.003,0,0,0,0,0
1.036,0,0,0,0,0
1.069,0,0,0,0,0
1.104,0,0,0,0,0
1.149,0,0,0,0,0
1.218,0,0,0,0,0
1.266,0,0,0,0,0
1.305,0,0,0,0,0
1.339,0,0,0,0,0
1.379,0,0,0,0,0
1.413,0,0,0,0,0
1.452,0,0,0,0,0
1.494,0,0,0,0,0
1.53,0,0,0,0,0
1.577,0,0,0,0,0
1.646,0,0,0,0,0
1.686,0,0,0,0,0
1.72,0,0,0,0,0
1.758,0,0,0,0,0
1.793,0,0,0,0,0
1.843,0,0,0,0,0
1.879,0,0,0,0,0
1.92,0,0,0,0,0
1.96,0,0,0,0,0
2.002,0,0,0,0,0
2.087,0,0,0,0,0
2.137,0,0,0,0,0
2.17,0,0,0,0,0
2.2,0,0,0,0,0
2.242,0,0,0,0,0
2.276,0,0,0,0,0
2.317,0,0,0,0,0
2.359,0,0,0,0,0
2.401,0,0,0,0,0
2.441,0,0,0,0,0
2.515,0,0,0,0,0
2.55,0,0,0,0,0
2.585,0,0,0,0,0
2.622,0,0,0,0,0
2.674,0,0,0,0,0
2.704,0,0,0,0,0
2.755,0,0,0,0,0
2.789,0,0,0,0,0
2.823,0,0,0,0,0
2.859,0,0,0,0,0
2.934,0,0,0,0,0
2.976,0,0,0,0,0
3.008,0,0,0,0,0
3.048,0,0,0,0,0
3.102,0,0,0,0,0
3.133,0,0,0,0,0
3.166,0,0,0,0,0
3.23,0,0,0,0,0
3.253,0,0,0,0,0
3.284,0,0,0,0,0
3.357,0,0,0,0,0
3.414,0,0,0,0,0
3.448,0,0,0,0,0
3.48,0,0,0,0,0
3.529,0,0,0,0,0
3.559,0,0,0,0,0
3.601,0,0,0,0,0
3.64,0,0,0,0,0
3.702,0,0,0,0,0
3.72,0,0,0,0,0
3.795,0,0,0,0,0
3.832,0,0,0,0,0
3.87,0,0,0,0,0
3.906,0,0,0,0,0
3.948,0,0,0,0,0
4.0,0,0,0,0,0
4.032,0,0,0,0,0
4.068,0,0,0,0,0
4.103,0,0,0,0,0
4.15,0,0,0,0,0
4.218,0,0,0,0,0
4.254,0,0,0,0,0
4.31,0,0,0,0,0
4.345,0,0,0,0,0
4.382,0,0,0,0,0
4.416,0,0,0,0,0
4.453,0,0,0,0,0
4.49,0,0,0,0,0
4.53,0,0,0,0,0
4.593,0,0,0,0,0
4.662,0,0,0,0,0
4.699,0,0,0,0,0
4.73,0,0,0,0,0
4.766,0,0,0,0,0
4.802,0,0,0,0,0
4.84,0,0,0,0,0
4.904,0,0,0,0,0
4.935,0,0,0,0,0
4.965,0,0,0,0,0
5.002,0,0,0,0,0
5.075,0,0,0,0,0
5.117,0,0,0,0,0
5.154,0,0,0,0,0
5.193,0,0,0,0,0
5.242,0,0,0,0,0
5.275,0,0,0,0,0
5.312,0,0,0,0,0
5.356,0,0,0,0,0
5.391,0,0,0,0,0
5.427,0,0,0,0,0
5.522,0,0,0,0,0
5.564,0,0,0,0,0
5.584,0,0,0,0,0
5.618,0,0,0,0,0
5.665,0,0,0,0,0
5.7,0,0,0,0,0
5.737,0,0,0,0,0
5.798,0,0,0,0,0
5.825,0,0,0,0,0
5.858,0,0,0,0,0
